date,precip_mm
1999-01,126.873
1999-02,258.78
1999-03,146.127
1999-04,83.549
1999-05,49.847
1999-06,9.727
1999-07,4.094
1999-08,6.266
1999-09,70.081
1999-10,59.178
1999-11,84.469
1999-12,100.625
2000-01,108.765
2000-02,167.198
2000-03,160.58
2000-04,91.186
2000-05,56.275
2000-06,5.503
2000-07,5.997
2000-08,13.485
2000-09,52.372
2000-10,44.934
2000-11,41.543
2000-12,127.781
2001-01,166.106
2001-02,109.317
2001-03,192.288
2001-04,55.773
2001-05,40.195
2001-06,4.516
2001-07,5.644
2001-08,6.022
2001-09,73.209
2001-10,80.667
2001-11,146.055
2001-12,76.762
2002-01,70.053
2002-02,133.316
2002-03,168.831
2002-04,84.856
2002-05,29.402
2002-06,6.102
2002-07,6.648
2002-08,5.76
2002-09,36.74
2002-10,119.049
2002-11,140.373
2002-12,100.863
2003-01,113.145
2003-02,93.752
2003-03,136.15
2003-04,74.608
2003-05,34.346
2003-06,7.307
2003-07,5.04
2003-08,9.215
2003-09,26.427
2003-10,41.881
2003-11,58.298
2003-12,131.591
2004-01,54.696
2004-02,122.253
2004-03,101.678
2004-04,59.822
2004-05,29.232
2004-06,7.29
2004-07,9.449
2004-08,6.271
2004-09,59.567
2004-10,79.295
2004-11,93.801
2004-12,102.867
2005-01,88.436
2005-02,74.56
2005-03,166.268
2005-04,61.117
2005-05,35.781
2005-06,4.337
2005-07,4.779
2005-08,8.57
2005-09,28.63
2005-10,58.482
2005-11,37.85
2005-12,110.691
2006-01,98.919
2006-02,133.346
2006-03,209.304
2006-04,141.183
2006-05,24.65
2006-06,15.451
2006-07,4.414
2006-08,8.318
2006-09,42.57
2006-10,65.343
2006-11,105.407
2006-12,131.325
2007-01,127.773
2007-02,66.318
2007-03,210.337
2007-04,120.034
2007-05,38.87
2007-06,5.837
2007-07,6.537
2007-08,9.775
2007-09,22.483
2007-10,88.82
2007-11,85.771
2007-12,75.49
2008-01,140.57
2008-02,158.82
2008-03,187.995
2008-04,96.018
2008-05,24.676
2008-06,8.498
2008-07,4.899
2008-08,9.529
2008-09,28.124
2008-10,83.36
2008-11,74.445
2008-12,63.663
2009-01,173.258
2009-02,165.422
2009-03,213.167
2009-04,112.118
2009-05,29.708
2009-06,6.625
2009-07,5.572
2009-08,9.368
2009-09,27.764
2009-10,98.035
2009-11,86.113
2009-12,95.818
2010-01,95.316
2010-02,107.01
2010-03,139.771
2010-04,66.487
2010-05,40.258
2010-06,6.303
2010-07,5.175
2010-08,5.696
2010-09,33.059
2010-10,73.805
2010-11,90.382
2010-12,117.61
2011-01,114.672
2011-02,134.622
2011-03,159.448
2011-04,100.972
2011-05,38.05
2011-06,9.422
2011-07,5.661
2011-08,11.62
2011-09,35.18
2011-10,81.195
2011-11,78.503
2011-12,95.326
2012-01,92.523
2012-02,147.096
2012-03,147.39
2012-04,101.692
2012-05,38.251
2012-06,6.652
2012-07,5.661
2012-08,11.741
2012-09,62.953
2012-10,70.57
2012-11,76.08
2012-12,100.812
2013-01,70.836
2013-02,128.537
2013-03,182.822
2013-04,93.743
2013-05,42.375
2013-06,9.331
2013-07,6.133
2013-08,11.897
2013-09,46.527
2013-10,70.427
2013-11,76.044
2013-12,76.588
2014-01,81.871
2014-02,134.24
2014-03,218.727
2014-04,65.725
2014-05,42.122
2014-06,5.842
2014-07,6.127
2014-08,11.816
2014-09,46.204
2014-10,62.462
2014-11,74.254
2014-12,77.931
2015-01,83.313
2015-02,140.818
2015-03,150.824
2015-04,60.121
2015-05,67.049
2015-06,5.842
2015-07,6.127
2015-08,12.381
2015-09,43.994
2015-10,52.965
2015-11,57.288
2015-12,69.212
2016-01,55.606
2016-02,115.303
2016-03,170.074
2016-04,58.638
2016-05,37.318
2016-06,9.311
2016-07,6.127
2016-08,13.366
2016-09,50.315
2016-10,53.139
2016-11,38.605
2016-12,92.236
2017-01,96.296
2017-02,176.569
2017-03,272.752
2017-04,74.481
2017-05,41.695
2017-06,6.797
2017-07,6.021
2017-08,11.574
2017-09,41.427
2017-10,67.223
2017-11,76.353
2017-12,121.889
2018-01,168.462
2018-02,152.381
2018-03,193.266
2018-04,87.043
2018-05,43.883
2018-06,5.842
2018-07,6.131
2018-08,11.604
2018-09,40.477
2018-10,87.727
2018-11,78.119
2018-12,189.745
2019-01,97.352
2019-02,140.349
2019-03,176.565
2019-04,78.662
2019-05,35.963
2019-06,6.662
2019-07,6.337
2019-08,8.23
2019-09,59.071
2019-10,56.868
2019-11,64.84
2019-12,110.928
2020-01,82.713
2020-02,108.407
2020-03,155.051
2020-04,63.049
2020-05,44.47
2020-06,6.927
2020-07,6.454
2020-08,12.329
2020-09,42.151
2020-10,124.499
2020-11,58.947
2020-12,110.054
2021-01,91.408
2021-02,105.011
2021-03,218.358
2021-04,85.262
2021-05,41.543
2021-06,7.428
2021-07,6.127
2021-08,12.408
2021-09,40.428
2021-10,68.526
2021-11,121.045
2021-12,91.778
2022-01,137.745
2022-02,163.817
2022-03,168.586
2022-04,88.513
2022-05,45.642
2022-06,10.814
2022-07,6.451
2022-08,11.572
2022-09,67.968
2022-10,55.872
2022-11,49.352
2022-12,95.163
2023-01,131.847
2023-02,133.423
2023-03,226.125
2023-04,92.712
2023-05,40.63
2023-06,5.842
2023-07,6.127
2023-08,11.765
2023-09,38.796
2023-10,81.409
2023-11,69.732
2023-12,104.822
2024-01,98.483
2024-02,79.882
2024-03,146.368
2024-04,73.603
2024-05,40.013
2024-06,6.335
2024-07,6.176
2024-08,12.571
2024-09,35.962
2024-10,53.646
2024-11,92.338
